équipe,indice de collaboration,indice d'innovation pédagogique et numerique,indice d'engagement et de durabilite,moyenne globale
Anglais,0.25833333333333336,0.4444444444444444,0.22916666666666666,0.3106481481481481
Arabe,0.6333333333333333,0.6944444444444444,0.5965277777777778,0.6414351851851852
cycle 1,0.225,0.10277777777777773,0.6666666666666666,0.33148148148148143
cycle 2,0.1,0.3935185185185186,0.4138888888888889,0.30246913580246915
cycle 3,0.20714285714285713,0.6388888888888888,0.6006944444444444,0.48224206349206344
Éducation physique et sportive,0.2007142857142857,0.3296296296296296,0.36944444444444446,0.2999294532627866
Espagnol,0.27261904761904765,0.40740740740740744,0.29097222222222224,0.3236662257495591
Français,0.5014285714285714,0.6055555555555556,0.42083333333333334,0.5092724867724868
Histoire-géographie,0.5633333333333332,0.4722222222222222,0.6277777777777778,0.5544444444444444
Mathématiques,0.5033333333333333,0.6425925925925927,0.5319444444444444,0.5592901234567901
Physique-chimie,0.3633333333333334,0.37962962962962965,0.13541666666666666,0.2927932098765432
Sciences de la vie et de la Terre,0.4521428571428573,0.4398148148148148,0.36388888888888893,0.418615520282187
